experiment,checkpoint_mode,horizon_step,action_l1,count
act_B,selected,0,0.08349373564124107,4
act_B,selected,1,0.07518056407570839,4
act_B,selected,2,0.09811694920063019,4
act_B,selected,3,0.08701629191637039,4
act_B,selected,4,0.0870305709540844,4
act_B,selected,5,0.10097810626029968,4
act_B,selected,6,0.12655925005674362,4
act_B,selected,7,0.17249275743961334,4
act_B,selected,8,0.19844580441713333,4
act_B,selected,9,0.20096275210380554,4
act_B,selected,10,0.19940989464521408,4
act_B,selected,11,0.2125317081809044,4
act_B,selected,12,0.1993153728544712,4
act_B,selected,13,0.34992100298404694,4
act_B,selected,14,0.32633809745311737,4
act_B,selected,15,0.33787718415260315,4
act_B,selected,16,0.2951961010694504,4
act_B,selected,17,0.27366214245557785,4
act_B,selected,18,0.2735784128308296,4
act_B,selected,19,0.24971133470535278,4
act_B,selected,20,0.26430240273475647,4
act_B,selected,21,0.2832011803984642,4
act_B,selected,22,0.22527779638767242,4
act_B,selected,23,0.24029748886823654,4
act_B,selected,24,0.21642567217350006,4
act_B,selected,25,0.21987350285053253,4
act_B,selected,26,0.22246764600276947,4
act_B,selected,27,0.21632256358861923,4
act_B,selected,28,0.21665850281715393,4
act_B,selected,29,0.2121204286813736,4
act_B,selected,30,0.2088281810283661,4
act_B,selected,31,0.2153233215212822,4
act_B,selected,32,0.199728362262249,4
act_B,selected,33,0.21153712272644043,4
act_B,selected,34,0.21178358793258667,4
act_B,selected,35,0.20621667429804802,4
act_B,selected,36,0.21719133853912354,4
act_B,selected,37,0.21206293255090714,4
act_B,selected,38,0.22080430388450623,4
act_B,selected,39,0.21696538478136063,4
act_B,selected,40,0.23103557527065277,4
act_B,selected,41,0.22857476770877838,4
act_B,selected,42,0.21936767548322678,4
act_B,selected,43,0.22377674281597137,4
act_B,selected,44,0.24344933778047562,4
act_B,selected,45,0.23806701600551605,4
act_B,selected,46,0.23567283153533936,4
act_B,selected,47,0.236721009016037,4
act_B,selected,48,0.22581713646650314,4
act_B,selected,49,0.23002679646015167,4
act_B,selected,50,0.2335810884833336,4
act_B,selected,51,0.20332583785057068,4
act_B,selected,52,0.2492033690214157,4
act_B,selected,53,0.16007166355848312,4
act_B,selected,54,0.16451415419578552,4
act_B,selected,55,0.20050615072250366,4
act_B,selected,56,0.22012651711702347,4
act_B,selected,57,0.2420058399438858,4
act_B,selected,58,0.2939954921603203,4
act_B,selected,59,0.28887633979320526,4
act_B,selected,60,0.30775468796491623,4
act_B,selected,61,0.29880252480506897,4
act_B,selected,62,0.2795247435569763,4
act_B,selected,63,0.2772357910871506,4
act_B,selected,64,0.2542355954647064,4
act_B,selected,65,0.23567430675029755,4
act_B,selected,66,0.24265655875205994,4
act_B,selected,67,0.26266077160835266,4
act_B,selected,68,0.26489396393299103,4
act_B,selected,69,0.32109808921813965,4
act_B,selected,70,0.3253074437379837,4
act_B,selected,71,0.30704694986343384,4
act_B,selected,72,0.3271045386791229,4
act_B,selected,73,0.31026288866996765,4
act_B,selected,74,0.3567284047603607,4
act_B,selected,75,0.35017229616642,4
act_B,selected,76,0.37632815539836884,4
act_B,selected,77,0.34465229511260986,4
act_B,selected,78,0.3640410900115967,4
act_B,selected,79,0.3466787338256836,4
act_B,selected,80,0.3403327167034149,4
act_B,selected,81,0.3318621963262558,4
act_B,selected,82,0.35084545612335205,4
act_B,selected,83,0.32979001104831696,4
act_B,selected,84,0.32402849197387695,4
act_B,selected,85,0.33687272667884827,4
act_B,selected,86,0.30811281502246857,4
act_B,selected,87,0.31300580501556396,4
act_B,selected,88,0.2902441471815109,4
act_B,selected,89,0.29632605612277985,4
act_B,selected,90,0.27805307507514954,4
act_B,selected,91,0.261954165995121,4
act_B,selected,92,0.2667337730526924,4
act_B,selected,93,0.2755572348833084,4
act_B,selected,94,0.24534720927476883,4
act_B,selected,95,0.26101255416870117,4
act_B,selected,96,0.2413262501358986,4
act_B,selected,97,0.24136795848608017,4
act_B,selected,98,0.2402283325791359,4
act_B,selected,99,0.24494332075119019,4
