model,display_name,successful_subtasks,median_steps_to_success,mean_steps_to_success,q90_steps_to_success
act_lang_ABC_200k,ABC 200k,1627,71.0,96.89305470190534,199.4000000000001
act_lang_ABC_size_matched_100k,ABC-SM 100k,1248,73.0,99.0849358974359,207.0
act_lang_B_100k,B 100k,361,66.0,107.27146814404432,235.0
