model,display_name,outcome,count,mean_action_delta_l2_first6,mean_chunk_boundary_jump_l2_first6,mean_action_norm_l2_first6
act_lang_B_100k,B 100k,failure,1000,0.05302975835114509,0.3727618429312216,0.30550318635642626
act_lang_B_100k,B 100k,success,361,0.049841073322770185,0.3022444580271732,0.40696707494479706
act_lang_ABC_size_matched_100k,ABC-SM 100k,failure,958,0.06320437693636333,0.4449334756534823,0.3700745561833552
act_lang_ABC_size_matched_100k,ABC-SM 100k,success,1248,0.05912906086296196,0.33840841596991766,0.46238227530914916
act_lang_ABC_200k,ABC 200k,failure,914,0.058582703940268176,0.4306072250201311,0.34201035150994763
act_lang_ABC_200k,ABC 200k,success,1627,0.05510944387538169,0.30518457948095473,0.43213776308808916
