comparison,delta_avg_len,delta_1_of_5_sr,delta_5_of_5_sr,delta_subtask_sr
ABC-SM 100k vs B 100k,0.887,0.33799999999999997,0.042,0.30048368520027213
ABC 200k vs B 100k,1.266,0.43699999999999994,0.086,0.37505295230230107
ABC 200k vs ABC-SM 100k,0.379,0.09899999999999998,0.04399999999999999,0.07456926710202894
