experiment,train_visual_env,zero_shot_D_action_l1,visual_rgb_l2_to_D,oversmoothing_index,boundary_amplification,late_horizon_degradation
act_B,B,0.23459682943889903,0.29479173400365527,0.9066540375034392,1.1634320445458424,0.08537608604502103
act_B_aug,B,0.23432651768165424,0.29479173400365527,0.9057068315485258,1.1967103741579712,0.08339011542254826
act_ABC,ABC,0.21541920742394097,0.03525672528554582,0.877894339092566,1.8248907498048712,0.11487735627503454
act_ABC_aug,ABC,0.21344561139557597,0.03525672528554582,0.8765831852394572,1.8981229701544722,0.11328276776456522
act_ABC_size_matched,ABC,0.22165160101168896,0.03525672528554582,0.8788830615047696,1.335508163877472,0.10723443697878679
act_ABC_size_matched_aug,ABC,0.2208773709783468,0.03525672528554582,0.8829167680823484,1.4082159579391988,0.1080688992177804
