step,train_action_l1_raw,train_action_l1_trailing_mean,train_smoothing_window_steps
1000,0.7262067794799805,0.7573377214670182,1000
2000,0.7090203166007996,0.7252494087219238,1000
3000,0.6807085275650024,0.7089123143553734,1000
4000,0.6964114904403687,0.696480729997158,1000
5000,0.720594048500061,0.690662549495697,1000
6000,0.7261346578598022,0.6848989646434784,1000
7000,0.6884142160415649,0.6811812167167663,1000
8000,0.6713725924491882,0.678443950176239,1000
9000,0.6302048563957214,0.6761512663960457,1000
10000,0.6776186227798462,0.6740905303359032,1000
11000,0.6579593420028687,0.6703684068918229,1000
12000,0.6697663068771362,0.6699205287098885,1000
13000,0.6798620820045471,0.6670255824327469,1000
14000,0.6708852648735046,0.6659075438380241,1000
15000,0.6555947661399841,0.6663168241977692,1000
16000,0.6640930771827698,0.6633462014198304,1000
17000,0.6343129277229309,0.6610210448503494,1000
18000,0.6708021759986877,0.6623841997981071,1000
19000,0.6412836909294128,0.6593732592463494,1000
20000,0.648141086101532,0.6579080488085747,1000
21000,0.6159652471542358,0.655395035803318,1000
22000,0.6573704481124878,0.6546670235991477,1000
23000,0.6662225127220154,0.6531128290891647,1000
24000,0.6380066871643066,0.6516837162375451,1000
25000,0.6777877807617188,0.6519906875491143,1000
26000,0.623587429523468,0.6489592199921608,1000
27000,0.6848072409629822,0.6489452849030495,1000
28000,0.6454818844795227,0.6471048495173455,1000
29000,0.643170177936554,0.646948950111866,1000
30000,0.6214163303375244,0.6456327147483826,1000
31000,0.5981332659721375,0.6435939280390739,1000
32000,0.6767428517341614,0.6431613267064095,1000
33000,0.638319730758667,0.6406481991410256,1000
34000,0.641844630241394,0.6403189575076104,1000
35000,0.672885000705719,0.6389021573066711,1000
36000,0.6181677579879761,0.6367453520894051,1000
37000,0.6397385597229004,0.6366464350223541,1000
38000,0.6480159163475037,0.636489255964756,1000
39000,0.6563820838928223,0.6329614650011063,1000
40000,0.6024266481399536,0.6325214459896088,1000
41000,0.5934237241744995,0.6324664380550384,1000
42000,0.6334607005119324,0.6291642119288444,1000
43000,0.6893515586853027,0.6317272164821625,1000
44000,0.6461462378501892,0.627844110250473,1000
45000,0.6723847389221191,0.6264286492466926,1000
46000,0.6538331508636475,0.6255361634492874,1000
47000,0.6478631496429443,0.6246207138299942,1000
48000,0.6260125637054443,0.624185152888298,1000
49000,0.5441824793815613,0.6210305018424987,1000
50000,0.5971481800079346,0.622389061510563,1000
51000,0.5911598801612854,0.6174567523002624,1000
52000,0.5823293924331665,0.616250150859356,1000
53000,0.6480109691619873,0.6152094651460648,1000
54000,0.6184659004211426,0.6134008439183235,1000
55000,0.5940250158309937,0.6132220759391784,1000
56000,0.5817921757698059,0.6103039461374283,1000
57000,0.5435628890991211,0.6091314516663552,1000
58000,0.6064111590385437,0.6099431874752045,1000
59000,0.546173632144928,0.6070263970494271,1000
60000,0.5990579724311829,0.6077500970959664,1000
61000,0.5742194652557373,0.6058730754852295,1000
62000,0.6216437816619873,0.6039793527126313,1000
63000,0.6370154023170471,0.6037308428883552,1000
64000,0.5885052680969238,0.6020578112006187,1000
65000,0.6268894076347351,0.6034006922245025,1000
66000,0.6183710694313049,0.6010825561285019,1000
67000,0.625302791595459,0.600160754442215,1000
68000,0.6279735565185547,0.5967849252521992,1000
69000,0.5726799368858337,0.5956779097914696,1000
70000,0.6371188163757324,0.5962635880112648,1000
71000,0.6246788501739502,0.5964587444067001,1000
72000,0.5514312386512756,0.593434363424778,1000
73000,0.5716549754142761,0.592435160279274,1000
74000,0.5864137411117554,0.5928318301439285,1000
75000,0.5966191291809082,0.5907946271896363,1000
76000,0.6183468699455261,0.5888511247038841,1000
77000,0.5750716924667358,0.5869170460700989,1000
78000,0.5602037310600281,0.5858241026699543,1000
79000,0.6019558310508728,0.5854288454055786,1000
80000,0.5759236216545105,0.5837937132418156,1000
81000,0.6119534969329834,0.5842778093218803,1000
82000,0.601048469543457,0.5819404086470604,1000
83000,0.5936076641082764,0.5804857914447784,1000
84000,0.6132915019989014,0.5797097138166427,1000
85000,0.5446946024894714,0.5796871857643128,1000
86000,0.5476992726325989,0.5770678952336311,1000
87000,0.5375435948371887,0.5772988792955875,1000
88000,0.618764340877533,0.5761564054489136,1000
89000,0.5878095030784607,0.5765802044868469,1000
90000,0.5852850079536438,0.5730749991834163,1000
91000,0.5126230120658875,0.5731305539011955,1000
92000,0.5752548575401306,0.5711991592347622,1000
93000,0.6433122158050537,0.5699520902335644,1000
94000,0.5185585021972656,0.568799141138792,1000
95000,0.6031262278556824,0.5693445097506046,1000
96000,0.5459598898887634,0.5674993212521077,1000
97000,0.5579453110694885,0.5670466894507408,1000
98000,0.5405570864677429,0.5661819371581077,1000
99000,0.5507325530052185,0.5651653388142586,1000
100000,0.5215988755226135,0.5616488898992539,1000
