source_env,target_env,static_rgb_mean_l2_to_D,static_brightness_abs_to_D,static_contrast_abs_to_D,gripper_rgb_mean_l2_to_D,gripper_brightness_abs_to_D,gripper_contrast_abs_to_D,mean_rgb_l2_to_D,mean_brightness_abs_to_D,mean_contrast_abs_to_D
A,D,0.15486823287851695,0.07220980525016785,0.04223629832267761,0.18174205962217602,0.10422241687774658,0.024111762642860413,0.16830514625034648,0.08821611106395721,0.03317403048276901
B,D,0.32119277590032164,0.1520836353302002,0.038949981331825256,0.2683906921069889,0.15414053201675415,0.014030545949935913,0.29479173400365527,0.15311208367347717,0.026490263640880585
C,D,0.08197344175234132,0.03484988212585449,0.024143517017364502,0.11844566756026889,0.06693160533905029,0.01500345766544342,0.1002095546563051,0.05089074373245239,0.01957348734140396
ABC,D,0.04757309510515376,0.015007982651392582,0.009143278002738953,0.02294035546593787,0.0056711634000142785,0.008361558119455964,0.03525672528554582,0.01033957302570343,0.008752418061097458
