experiment,config,physical_gpu,output_dir,log_file,steps,batch_size,train_frames,val_frames,final_train_loss,final_train_action_l1,final_val_loss,final_val_action_l1,self_check,checkpoint,notes
act_ABC,project/configs/act_ABC.yaml,1,project/outputs/task2/act_ABC/mini_trials/20260605_071512_task2_mini,project/logs/task2/mini_trials/20260605_071512_task2_mini/act_ABC_gpu1.log,20,2,15023,13251,11.585296630859375,0.7776254415512085,9.324549436569214,0.9289356619119644,passed,project/outputs/task2/act_ABC/mini_trials/20260605_071512_task2_mini/checkpoint,"Task 2 mini-trial only; CUDA_VISIBLE_DEVICES=1 and ACT_DEVICE_OVERRIDE=cuda:0; no GPU0 use."
act_ABC_size_matched,project/configs/act_ABC_size_matched.yaml,2,project/outputs/task2/act_ABC_size_matched/mini_trials/20260605_071512_task2_mini,project/logs/task2/mini_trials/20260605_071512_task2_mini/act_ABC_size_matched_gpu2.log,20,2,15023,13251,11.585711479187012,0.7780355215072632,9.32487940788269,0.9292405992746353,passed,project/outputs/task2/act_ABC_size_matched/mini_trials/20260605_071512_task2_mini/checkpoint,"Mini split uses the same small A/B/C smoke subset; full size-matched split is defined in task2_episode_splits.csv."
act_ABC_aug,project/configs/act_ABC_aug.yaml,3,project/outputs/task2/act_ABC_aug/mini_trials/20260605_071512_task2_mini,project/logs/task2/mini_trials/20260605_071512_task2_mini/act_ABC_aug_gpu3.log,20,2,15023,13251,11.590174674987793,0.7811135649681091,9.31201696395874,0.9163125157356262,passed,project/outputs/task2/act_ABC_aug/mini_trials/20260605_071512_task2_mini/checkpoint,"Uses Task 1 augmentation strength; validation is not augmented."
act_ABC_size_matched_aug,project/configs/act_ABC_size_matched_aug.yaml,4,project/outputs/task2/act_ABC_size_matched_aug/mini_trials/20260605_071512_task2_mini,project/logs/task2/mini_trials/20260605_071512_task2_mini/act_ABC_size_matched_aug_gpu4.log,20,2,15023,13251,11.589699745178223,0.7806710600852966,9.31045389175415,0.9148507416248322,passed,project/outputs/task2/act_ABC_size_matched_aug/mini_trials/20260605_071512_task2_mini/checkpoint,"Uses Task 1 augmentation strength; validation is not augmented."
