experiment,condition,phase,step,val_action_l1,train_action_l1,checkpoint,checkpoint_exists
act_ABC_aug,full_abc_aug,task2,60000,0.5689602512866259,0.5990579724311829,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_aug/20260605_073244_act_ABC_aug_full_gpu3/checkpoints/step_00060000,True
act_ABC_aug,full_abc_aug,task2,70000,0.5743009569123387,0.6371188163757324,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_aug/20260605_073244_act_ABC_aug_full_gpu3/checkpoints/step_00070000,True
act_ABC_aug,full_abc_aug,task2,80000,0.5786237241700292,0.5759236216545105,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_aug/20260605_073244_act_ABC_aug_full_gpu3/checkpoints/step_00080000,True
act_ABC_aug,full_abc_aug,task2,90000,0.5794698628596961,0.5852850079536438,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_aug/20260605_073244_act_ABC_aug_full_gpu3/checkpoints/step_00090000,True
act_ABC_aug,full_abc_aug,task2,100000,0.5872044791467488,0.5215988755226135,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_aug/20260605_073244_act_ABC_aug_full_gpu3/checkpoint,True
act_ABC_size_matched_aug,size_matched_aug,task2,10000,0.571392897516489,0.629325807094574,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_size_matched_aug/20260605_073744_act_ABC_size_matched_aug_full_gpu4/checkpoints/step_00010000,True
act_ABC_size_matched_aug,size_matched_aug,task2,20000,0.5747293080203235,0.5966991186141968,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_size_matched_aug/20260605_073744_act_ABC_size_matched_aug_full_gpu4/checkpoints/step_00020000,True
act_ABC_size_matched_aug,size_matched_aug,task2,30000,0.5856824703514576,0.5588521957397461,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_size_matched_aug/20260605_073744_act_ABC_size_matched_aug_full_gpu4/checkpoints/step_00030000,True
act_ABC_size_matched_aug,size_matched_aug,task2,40000,0.6103670713491738,0.5244680047035217,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_size_matched_aug/20260605_073744_act_ABC_size_matched_aug_full_gpu4/checkpoints/step_00040000,True
act_ABC_size_matched_aug,size_matched_aug,task2,50000,0.6035774890333414,0.5099712014198303,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_size_matched_aug/20260605_073744_act_ABC_size_matched_aug_full_gpu4/checkpoints/step_00050000,True
act_ABC_size_matched_aug,size_matched_aug,task2,60000,0.6076729851774871,0.5378357172012329,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_size_matched_aug/20260605_073744_act_ABC_size_matched_aug_full_gpu4/checkpoints/step_00060000,True
act_ABC_size_matched_aug,size_matched_aug,task2,70000,0.6151937320828438,0.515241265296936,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_size_matched_aug/20260605_073744_act_ABC_size_matched_aug_full_gpu4/checkpoints/step_00070000,True
act_ABC_size_matched_aug,size_matched_aug,task2,80000,0.6178869833238423,0.44916027784347534,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_size_matched_aug/20260605_073744_act_ABC_size_matched_aug_full_gpu4/checkpoints/step_00080000,True
act_ABC_size_matched_aug,size_matched_aug,task2,90000,0.6280118366703391,0.4608864188194275,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_size_matched_aug/20260605_073744_act_ABC_size_matched_aug_full_gpu4/checkpoints/step_00090000,True
act_ABC_size_matched_aug,size_matched_aug,task2,100000,0.6304311300627887,0.4299245774745941,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_size_matched_aug/20260605_073744_act_ABC_size_matched_aug_full_gpu4/checkpoint,True
