step,train_action_l1_raw,train_action_l1_trailing_mean,train_smoothing_window_steps
1000,0.7190775871276855,0.755392694413662,1000
2000,0.738690972328186,0.7252446839809418,1000
3000,0.7165701985359192,0.7090955199003219,1000
4000,0.658416211605072,0.700560669541359,1000
5000,0.6782495975494385,0.692917033970356,1000
6000,0.6993776559829712,0.6862018189430237,1000
7000,0.656434953212738,0.681834069788456,1000
8000,0.6796544194221497,0.6786782481670379,1000
9000,0.6660735607147217,0.6753330051898956,1000
10000,0.6857425570487976,0.6703374099135399,1000
11000,0.671537458896637,0.668759590625763,1000
12000,0.635089635848999,0.6640022201538086,1000
13000,0.6105087995529175,0.6592873983979225,1000
14000,0.6359046101570129,0.6569702290892601,1000
15000,0.6714649796485901,0.656860416173935,1000
16000,0.5986396074295044,0.6513499428629875,1000
17000,0.6414148211479187,0.6464195784926414,1000
18000,0.6408568024635315,0.6402473373413086,1000
19000,0.623555600643158,0.6370349053144455,1000
20000,0.6493501663208008,0.6325037740468978,1000
21000,0.6532059907913208,0.6310358937382698,1000
22000,0.5870662331581116,0.6270228270888328,1000
23000,0.5982843637466431,0.6216455619335175,1000
24000,0.6038495302200317,0.6199456505179405,1000
25000,0.5820928812026978,0.61475904661417,1000
26000,0.5873263478279114,0.6122658315300942,1000
27000,0.6089178919792175,0.6092238346934319,1000
28000,0.6174174547195435,0.6094320690631867,1000
29000,0.6045664548873901,0.6021640955209732,1000
30000,0.6391202807426453,0.6008739202022553,1000
31000,0.5559989809989929,0.596024288892746,1000
32000,0.6286540627479553,0.5970198650360108,1000
33000,0.6543856263160706,0.5915356934070587,1000
34000,0.5725799798965454,0.5847959877550601,1000
35000,0.5645859241485596,0.5797546770274639,1000
36000,0.5541700124740601,0.5771696370244026,1000
37000,0.5549899339675903,0.5747998195290566,1000
38000,0.5648319721221924,0.5725967512726784,1000
39000,0.5602483749389648,0.5701758684515953,1000
40000,0.5498118996620178,0.5676704133749009,1000
41000,0.5965453386306763,0.5670253432393074,1000
42000,0.5600846409797668,0.564574921309948,1000
43000,0.515569269657135,0.5593890741169453,1000
44000,0.5539381504058838,0.5590749214291573,1000
45000,0.568773090839386,0.5548026901483536,1000
46000,0.5967405438423157,0.5539086405932904,1000
47000,0.5837947726249695,0.5511561902463437,1000
48000,0.5339579582214355,0.5488431613445282,1000
49000,0.5285009145736694,0.5461680764853954,1000
50000,0.5909384489059448,0.5441742377579212,1000
51000,0.4811309278011322,0.5377650915980339,1000
52000,0.5313990712165833,0.5336564407348633,1000
53000,0.5745325684547424,0.5322011752724648,1000
54000,0.527151346206665,0.5294430988729,1000
55000,0.5730609893798828,0.5280482476055622,1000
56000,0.5110101103782654,0.5269937115907669,1000
57000,0.5505821108818054,0.5241264580488205,1000
58000,0.5803908109664917,0.523545768469572,1000
59000,0.5248447060585022,0.5193651819229126,1000
60000,0.5060968995094299,0.5188645187914371,1000
61000,0.5384537577629089,0.5156799885630607,1000
62000,0.5283284187316895,0.5144294684231281,1000
63000,0.48641863465309143,0.5136356855034828,1000
64000,0.5007763504981995,0.5106557442843914,1000
65000,0.5236656665802002,0.5093658515810966,1000
66000,0.4903252124786377,0.5098906438946724,1000
67000,0.4683643579483032,0.5044006128311157,1000
68000,0.5040186047554016,0.4982580831050873,1000
69000,0.4829845726490021,0.4957186004817486,1000
70000,0.48555585741996765,0.49557158815860747,1000
71000,0.44292163848876953,0.49613990956544873,1000
72000,0.4502374827861786,0.49298611906170847,1000
73000,0.45107176899909973,0.49257489666342735,1000
74000,0.46270373463630676,0.488268646478653,1000
75000,0.47025617957115173,0.48699982088804245,1000
76000,0.48386281728744507,0.48670268577337267,1000
77000,0.497140109539032,0.48475573059916494,1000
78000,0.46804797649383545,0.483343035787344,1000
79000,0.4554343819618225,0.4829198428690433,1000
80000,0.42961758375167847,0.48088032844662665,1000
81000,0.47385963797569275,0.47939982888102534,1000
82000,0.4611639976501465,0.4770982184112072,1000
83000,0.42836669087409973,0.4746897518634796,1000
84000,0.4554581344127655,0.4721555023491383,1000
85000,0.5023801922798157,0.46805883502960205,1000
86000,0.43938565254211426,0.46664842328429224,1000
87000,0.5084875822067261,0.4671335546076298,1000
88000,0.4575432240962982,0.465525994181633,1000
89000,0.47010573744773865,0.4629619456231594,1000
90000,0.46802785992622375,0.46178420147299765,1000
91000,0.45875751972198486,0.46137790712714194,1000
92000,0.44264325499534607,0.46001383593678474,1000
93000,0.4570983350276947,0.4586417382061482,1000
94000,0.45161399245262146,0.4583168780505657,1000
95000,0.4302098751068115,0.45686805802583697,1000
96000,0.4747471213340759,0.4554149819612503,1000
97000,0.44192740321159363,0.45467818364501,1000
98000,0.47735947370529175,0.4536586307585239,1000
99000,0.43808311223983765,0.4521571338474751,1000
100000,0.48519521951675415,0.4515017004609108,1000
