experiment,final_step,final_train_action_l1,final_val_action_l1,best_val_step,best_val_action_l1,final_minus_best,metrics_rows
act_lang_B,100000,0.24576552212238312,0.394311755662784,95000,0.3926512518664822,0.0016605037963017821,100000
act_lang_ABC_100k,100000,0.3161018490791321,0.41157395229674876,100000,0.41157395229674876,0.0,100000
act_lang_ABC_200k,200000,0.2706204950809479,0.3948035812936723,195000,0.3904843954369426,0.004319185856729746,100000
act_lang_ABC_size_matched,100000,0.2731674015522003,0.4759296546690166,75000,0.47178137535229325,0.004148279316723347,100000
