experiment,condition,phase,run_dir,log,metrics_rows,final_step,final_train_loss,final_train_action_l1,final_val_loss,final_val_action_l1,best_val_step,best_val_action_l1,best_step_checkpoint_exists,best_available_checkpoint_step,best_available_checkpoint_val_action_l1,best_available_checkpoint,adjacent_checkpoint_candidate_step,adjacent_checkpoint_candidate_val_action_l1,adjacent_checkpoint_candidate,self_check_passed,log_errors,final_checkpoint_exists
act_B,baseline,task1_reference,/EXT_DISK/users/zengzixuan/calvin_runs/act_B/20260604_101320_act_B_full_gpu0,/EXT_DISK/users/zengzixuan/calvin_runs/act_B/logs/20260604_101320_act_B_full_gpu0.log,100000,100000,0.458808958530426,0.4586472511291504,0.6230219444260001,0.6228719879873097,10000,0.5404146257787943,True,10000,0.5404146257787943,/EXT_DISK/users/zengzixuan/calvin_runs/act_B/20260604_101320_act_B_full_gpu0/checkpoints/step_00010000,10000,0.5404146257787943,/EXT_DISK/users/zengzixuan/calvin_runs/act_B/20260604_101320_act_B_full_gpu0/checkpoints/step_00010000,True,,True
act_B_aug,augmentation,task1_extension,/EXT_DISK/users/zengzixuan/calvin_runs/act_B_aug/20260605_063735_act_B_aug_full_gpu0,/EXT_DISK/users/zengzixuan/calvin_runs/act_B_aug/logs/20260605_063735_act_B_aug_full_gpu0.log,100000,100000,0.4853159785270691,0.48519521951675415,0.6486816750839353,0.6485505253076553,15000,0.5409390446729958,False,10000,0.5478160153143108,/EXT_DISK/users/zengzixuan/calvin_runs/act_B_aug/20260605_063735_act_B_aug_full_gpu0/checkpoints/step_00010000,10000,0.5478160153143108,/EXT_DISK/users/zengzixuan/calvin_runs/act_B_aug/20260605_063735_act_B_aug_full_gpu0/checkpoints/step_00010000,True,,True
act_ABC,full_abc,task2,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC/20260605_072243_act_ABC_full_gpu1,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC/logs/20260605_072243_act_ABC_full_gpu1.log,100000,100000,0.503002941608429,0.5028818249702454,0.5811595190316439,0.5810228162445128,25000,0.5551944971084595,False,30000,0.5565027287229896,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC/20260605_072243_act_ABC_full_gpu1/checkpoints/step_00030000,30000,0.5565027287229896,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC/20260605_072243_act_ABC_full_gpu1/checkpoints/step_00030000,True,,True
act_ABC_size_matched,size_matched,task2,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_size_matched/20260605_072743_act_ABC_size_matched_full_gpu2,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_size_matched/logs/20260605_072743_act_ABC_size_matched_full_gpu2.log,100000,100000,0.41417425870895386,0.4140178859233856,0.6165968687273562,0.6164840455166996,15000,0.5652964413166046,False,10000,0.5735606364905834,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_size_matched/20260605_072743_act_ABC_size_matched_full_gpu2/checkpoints/step_00010000,10000,0.5735606364905834,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_size_matched/20260605_072743_act_ABC_size_matched_full_gpu2/checkpoints/step_00010000,True,,True
act_ABC_aug,full_abc_aug,task2,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_aug/20260605_073244_act_ABC_aug_full_gpu3,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_aug/logs/20260605_073244_act_ABC_aug_full_gpu3.log,100000,100000,0.5217213034629822,0.5215988755226135,0.5873212413862348,0.5872044791467488,25000,0.5559360273182392,False,30000,0.558814010117203,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_aug/20260605_073244_act_ABC_aug_full_gpu3/checkpoints/step_00030000,30000,0.558814010117203,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_aug/20260605_073244_act_ABC_aug_full_gpu3/checkpoints/step_00030000,True,,True
act_ABC_size_matched_aug,size_matched_aug,task2,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_size_matched_aug/20260605_073744_act_ABC_size_matched_aug_full_gpu4,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_size_matched_aug/logs/20260605_073744_act_ABC_size_matched_aug_full_gpu4.log,100000,100000,0.4300755560398102,0.4299245774745941,0.630606328137219,0.6304311300627887,15000,0.5668818224221468,False,10000,0.571392897516489,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_size_matched_aug/20260605_073744_act_ABC_size_matched_aug_full_gpu4/checkpoints/step_00010000,10000,0.571392897516489,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_size_matched_aug/20260605_073744_act_ABC_size_matched_aug_full_gpu4/checkpoints/step_00010000,True,,True
