step,train/loss,train/action_l1,val/loss,val/action_l1
10,10.471657752990723,0.7753022313117981,,
20,7.234476566314697,0.7987762093544006,,
30,5.313373565673828,0.7792474031448364,,
40,4.820313453674316,0.767143726348877,,
50,4.309237480163574,0.7623364329338074,,
60,3.9669103622436523,0.754240870475769,,
70,3.675133466720581,0.7236917018890381,,
80,3.5583906173706055,0.7733913064002991,,
90,3.3700242042541504,0.7484602332115173,,
100,3.2849807739257812,0.8051270246505737,,
110,3.21964955329895,0.7809913754463196,,
120,3.2516634464263916,0.7351954579353333,,
130,2.9898362159729004,0.7698413133621216,,
140,3.133347511291504,0.7834593057632446,,
150,2.968933582305908,0.7918300032615662,,
160,2.8128445148468018,0.7624322772026062,,
170,2.8070244789123535,0.7350117564201355,,
180,2.8720808029174805,0.803396999835968,,
190,2.8214974403381348,0.7518548965454102,,
200,2.7112178802490234,0.7649484872817993,,
210,2.74737286567688,0.7509658932685852,,
220,2.7157161235809326,0.7771698832511902,,
230,2.6340384483337402,0.7306958436965942,,
240,2.610102653503418,0.7301648855209351,,
250,2.6274986267089844,0.7351403832435608,,
260,2.4877610206604004,0.7820457220077515,,
270,2.426034927368164,0.7504637241363525,,
280,2.4155781269073486,0.767636775970459,,
290,2.502586841583252,0.7525891065597534,,
300,2.498943567276001,0.7883760333061218,,
310,2.4423747062683105,0.7574122548103333,,
320,2.433527708053589,0.765875518321991,,
330,2.3155813217163086,0.7530598044395447,,
340,2.50479793548584,0.7702181339263916,,
350,2.29232120513916,0.7423003315925598,,
360,2.378039836883545,0.7519930601119995,,
370,2.3186326026916504,0.7214871644973755,,
380,2.2490220069885254,0.8212509751319885,,
390,2.226149082183838,0.8000982999801636,,
400,2.250946521759033,0.7495657205581665,,
410,2.187192440032959,0.7653926610946655,,
420,2.172391891479492,0.7566828727722168,,
430,2.1208415031433105,0.7680520415306091,,
440,2.130695104598999,0.7727165222167969,,
450,2.0596299171447754,0.7225271463394165,,
460,2.1372830867767334,0.7840773463249207,,
470,2.10616135597229,0.776147186756134,,
480,2.235304832458496,0.755508303642273,,
490,2.084198236465454,0.7594528198242188,,
500,2.1695303916931152,0.7550010681152344,,
510,1.9983203411102295,0.7388593554496765,,
520,2.012418031692505,0.7776644825935364,,
530,2.0485823154449463,0.7350078821182251,,
540,1.9546396732330322,0.7515817284584045,,
550,1.9717702865600586,0.7542955279350281,,
560,2.0012121200561523,0.7481700778007507,,
570,2.002908706665039,0.7518734931945801,,
580,1.9157874584197998,0.767281174659729,,
590,1.9249534606933594,0.7462680339813232,,
600,1.9251363277435303,0.7492153644561768,,
610,1.9435207843780518,0.7432560324668884,,
620,1.8412448167800903,0.715283989906311,,
630,1.9899587631225586,0.7817825675010681,,
640,1.8502709865570068,0.7418070435523987,,
650,1.8758282661437988,0.7454364895820618,,
660,1.941227674484253,0.7700279355049133,,
670,1.8918006420135498,0.7876867651939392,,
680,1.9048857688903809,0.7482386231422424,,
690,1.8542237281799316,0.763691246509552,,
700,1.7586238384246826,0.7273388504981995,,
710,1.8193644285202026,0.7445263862609863,,
720,1.736337661743164,0.7400831580162048,,
730,1.7486903667449951,0.7312515377998352,,
740,1.7164297103881836,0.7378899455070496,,
750,1.784246563911438,0.7548415660858154,,
760,1.6602180004119873,0.7257056832313538,,
770,1.7098207473754883,0.7643097639083862,,
780,1.6938990354537964,0.7206705212593079,,
790,1.7336623668670654,0.7559186816215515,,
800,1.7246845960617065,0.7195336818695068,,
810,1.675356388092041,0.7548413872718811,,
820,1.6938730478286743,0.7621307373046875,,
830,1.666729211807251,0.7468593716621399,,
840,1.6262624263763428,0.7684149146080017,,
850,1.5812256336212158,0.739047110080719,,
860,1.5739786624908447,0.7370879054069519,,
870,1.5421161651611328,0.7107358574867249,,
880,1.7096461057662964,0.7271451354026794,,
890,1.5497949123382568,0.7172932028770447,,
900,1.6214497089385986,0.7425533533096313,,
910,1.6225972175598145,0.7452106475830078,,
920,1.5877892971038818,0.7406664490699768,,
930,1.5143468379974365,0.7331308126449585,,
940,1.5187723636627197,0.7339727878570557,,
950,1.5515031814575195,0.7650918364524841,,
960,1.5768547058105469,0.7208101749420166,,
970,1.5047451257705688,0.7314903736114502,,
980,1.5195794105529785,0.7665547728538513,,
990,1.5223309993743896,0.7820842862129211,,
1000,1.4084982872009277,0.7190775871276855,,
1010,1.490516185760498,0.7791134119033813,,
1020,1.432665228843689,0.7387168407440186,,
1030,1.4919549226760864,0.7219949960708618,,
1040,1.4480106830596924,0.7677019238471985,,
1050,1.4074962139129639,0.742321252822876,,
1060,1.4098860025405884,0.7175078392028809,,
1070,1.4333364963531494,0.7476003170013428,,
1080,1.4004271030426025,0.7139704823493958,,
1090,1.368566632270813,0.7165614366531372,,
1100,1.3916893005371094,0.7390998005867004,,
1110,1.3988579511642456,0.7352051734924316,,
1120,1.3787442445755005,0.7207155227661133,,
1130,1.3310401439666748,0.740067720413208,,
1140,1.3818166255950928,0.710223913192749,,
1150,1.3936774730682373,0.7509092688560486,,
1160,1.2964503765106201,0.7071423530578613,,
1170,1.3298654556274414,0.7002525925636292,,
1180,1.3155708312988281,0.7226045727729797,,
1190,1.3821533918380737,0.7040785551071167,,
1200,1.2668840885162354,0.7071091532707214,,
1210,1.3514666557312012,0.7611315846443176,,
1220,1.3472788333892822,0.7501423954963684,,
1230,1.2564623355865479,0.7171437740325928,,
1240,1.3180508613586426,0.7456085085868835,,
1250,1.2984368801116943,0.7465028762817383,,
1260,1.321542739868164,0.7630606293678284,,
1270,1.1948052644729614,0.7172982692718506,,
1280,1.2333037853240967,0.7329265475273132,,
1290,1.2219042778015137,0.6908110976219177,,
1300,1.2464134693145752,0.737866222858429,,
1310,1.233489751815796,0.7222923636436462,,
1320,1.22031569480896,0.7186422944068909,,
1330,1.2375565767288208,0.7175120711326599,,
1340,1.2372524738311768,0.7432947158813477,,
1350,1.243561029434204,0.7591071724891663,,
1360,1.2528096437454224,0.7901722192764282,,
1370,1.255354404449463,0.7645698189735413,,
1380,1.1749937534332275,0.733364462852478,,
1390,1.191034197807312,0.7178046703338623,,
1400,1.179457426071167,0.7312924265861511,,
1410,1.2103781700134277,0.735381007194519,,
1420,1.1319290399551392,0.7161991000175476,,
1430,1.124854326248169,0.7085242867469788,,
1440,1.2370190620422363,0.7505497336387634,,
1450,1.1305221319198608,0.7120906710624695,,
1460,1.1551129817962646,0.7259174585342407,,
1470,1.1366957426071167,0.7480233907699585,,
1480,1.1447789669036865,0.7281228303909302,,
1490,1.1223548650741577,0.7173881530761719,,
1500,1.1221685409545898,0.7044304013252258,,
1510,1.1630223989486694,0.7237102389335632,,
1520,1.1159651279449463,0.7239357233047485,,
1530,1.1084492206573486,0.728532075881958,,
1540,1.1395645141601562,0.7669344544410706,,
1550,1.1107606887817383,0.6813245415687561,,
1560,1.066813588142395,0.7315261363983154,,
1570,1.0659303665161133,0.6824296116828918,,
1580,1.080269455909729,0.7286525964736938,,
1590,1.1136772632598877,0.7351329326629639,,
1600,1.0678726434707642,0.6977894902229309,,
1610,1.0847101211547852,0.7359437942504883,,
1620,1.0591533184051514,0.7063565254211426,,
1630,1.0781452655792236,0.7031351923942566,,
1640,1.051357388496399,0.693353533744812,,
1650,1.0845098495483398,0.7053937315940857,,
1660,1.0740936994552612,0.7379236221313477,,
1670,0.9575397968292236,0.6606399416923523,,
1680,1.092223882675171,0.7317532300949097,,
1690,0.9955395460128784,0.6866496205329895,,
1700,1.0128333568572998,0.6968072652816772,,
1710,1.058023452758789,0.7469550371170044,,
1720,1.0532567501068115,0.7502942085266113,,
1730,1.0310580730438232,0.7217047810554504,,
1740,1.0116140842437744,0.7218770384788513,,
1750,1.0541075468063354,0.725070595741272,,
1760,1.0322325229644775,0.7174769043922424,,
1770,1.0811302661895752,0.6910863518714905,,
1780,1.044175386428833,0.6843141913414001,,
1790,0.9724880456924438,0.6860730648040771,,
1800,0.9640758037567139,0.6996055841445923,,
1810,1.0483801364898682,0.7862234711647034,,
1820,1.0166668891906738,0.7359209060668945,,
1830,0.9829288721084595,0.7372511625289917,,
1840,0.9802494049072266,0.7303515076637268,,
1850,0.9701867699623108,0.691776692867279,,
1860,0.973404049873352,0.707110583782196,,
1870,0.9455926418304443,0.6876555681228638,,
1880,1.0401451587677002,0.7751380801200867,,
1890,0.9448584318161011,0.7233360409736633,,
1900,0.9726885557174683,0.7336997985839844,,
1910,0.9813019037246704,0.7479752898216248,,
1920,0.9241806268692017,0.7003326416015625,,
1930,0.9725721478462219,0.742452085018158,,
1940,0.986745297908783,0.7586051821708679,,
1950,0.9246879816055298,0.7188197374343872,,
1960,0.9619890451431274,0.7474287152290344,,
1970,0.9451307654380798,0.7250497341156006,,
1980,0.879072904586792,0.6784206032752991,,
1990,1.0023494958877563,0.7863522171974182,,
2000,0.9272023439407349,0.738690972328186,,
2010,0.9689124226570129,0.7540899515151978,,
2020,0.9179850816726685,0.7074564099311829,,
2030,0.9086018800735474,0.7153328657150269,,
2040,0.8896922469139099,0.6994584202766418,,
2050,0.9298814535140991,0.7440469861030579,,
2060,0.8596100807189941,0.6792248487472534,,
2070,0.9419788122177124,0.7298764586448669,,
2080,0.90812087059021,0.6930989027023315,,
2090,0.9190205335617065,0.7043381929397583,,
2100,0.9008998870849609,0.7146695256233215,,
2110,0.9511771202087402,0.7612155079841614,,
2120,0.9154472351074219,0.7301510572433472,,
2130,0.8615628480911255,0.6858334541320801,,
2140,0.8879148960113525,0.7032153606414795,,
2150,0.8862021565437317,0.6987771391868591,,
2160,0.887795090675354,0.7022937536239624,,
