step,train/loss,train/action_l1,val/loss,val/action_l1
10,11.498400688171387,0.7885729074478149,,
20,7.192124366760254,0.7945056557655334,,
30,5.484811305999756,0.8273777365684509,,
40,5.002944469451904,0.7514938116073608,,
50,4.196838855743408,0.7901526689529419,,
60,3.9289958477020264,0.7622487545013428,,
70,3.80973219871521,0.7385099530220032,,
80,3.6474874019622803,0.7744991779327393,,
90,3.513824224472046,0.7324846386909485,,
100,3.2946431636810303,0.7529013752937317,,
110,3.118607521057129,0.7611731886863708,,
120,3.294316530227661,0.7906295657157898,,
130,3.038358688354492,0.7649251818656921,,
140,3.1133675575256348,0.7026268839836121,,
150,3.1039843559265137,0.7790979743003845,,
160,2.939328670501709,0.817468523979187,,
170,2.9508867263793945,0.7562776803970337,,
180,2.858067274093628,0.7636386752128601,,
190,2.7269508838653564,0.767573893070221,,
200,2.698164463043213,0.746674656867981,,
210,2.7507429122924805,0.7927396893501282,,
220,2.7784008979797363,0.7973560094833374,,
230,2.5766077041625977,0.7452375888824463,,
240,2.572704792022705,0.7440981268882751,,
250,2.6478469371795654,0.7749488353729248,,
260,2.460574150085449,0.7733766436576843,,
270,2.437894344329834,0.7815994620323181,,
280,2.40747332572937,0.7582967877388,,
290,2.539621591567993,0.7923513054847717,,
300,2.4987540245056152,0.7549309730529785,,
310,2.4084348678588867,0.7574004530906677,,
320,2.447481155395508,0.7603780031204224,,
330,2.3507323265075684,0.8056475520133972,,
340,2.3566839694976807,0.7314223647117615,,
350,2.3520727157592773,0.7635183334350586,,
360,2.3906190395355225,0.7321645021438599,,
370,2.2971949577331543,0.7543126344680786,,
380,2.2057933807373047,0.7732951641082764,,
390,2.250697135925293,0.7654788494110107,,
400,2.236996650695801,0.7600799798965454,,
410,2.0883641242980957,0.7135451436042786,,
420,2.181128740310669,0.7522196173667908,,
430,2.0628409385681152,0.773966908454895,,
440,2.1815826892852783,0.8188548684120178,,
450,2.1112093925476074,0.7391268610954285,,
460,2.1014108657836914,0.7071241140365601,,
470,2.06563663482666,0.7669183015823364,,
480,2.2182445526123047,0.7354245781898499,,
490,2.082723379135132,0.7950627207756042,,
500,2.1818699836730957,0.76343834400177,,
510,2.003323793411255,0.7320463061332703,,
520,2.0038347244262695,0.7475816011428833,,
530,2.061767578125,0.7629436254501343,,
540,2.0039496421813965,0.7851394414901733,,
550,1.9789454936981201,0.7663401365280151,,
560,1.9909758567810059,0.7597218155860901,,
570,2.0423271656036377,0.7861533761024475,,
580,1.86758553981781,0.7400246858596802,,
590,1.9085619449615479,0.7595109343528748,,
600,1.9525818824768066,0.696779191493988,,
610,1.9532744884490967,0.758633017539978,,
620,1.8357876539230347,0.7485977411270142,,
630,1.9385623931884766,0.7708622217178345,,
640,1.8808329105377197,0.7649959921836853,,
650,1.9095929861068726,0.7783873081207275,,
660,1.8062634468078613,0.7384389042854309,,
670,1.8189876079559326,0.7403842210769653,,
680,1.8694088459014893,0.738689124584198,,
690,1.8427348136901855,0.7223934531211853,,
700,1.7967641353607178,0.7644832730293274,,
710,1.779710054397583,0.7488738298416138,,
720,1.7037529945373535,0.7423095703125,,
730,1.717665433883667,0.707309901714325,,
740,1.7334753274917603,0.7257450819015503,,
750,1.7238274812698364,0.7702354192733765,,
760,1.6568846702575684,0.7441145777702332,,
770,1.7071678638458252,0.7404746413230896,,
780,1.641219139099121,0.7315520644187927,,
790,1.645005226135254,0.7273356914520264,,
800,1.8013297319412231,0.8128870725631714,,
810,1.6099035739898682,0.7304689884185791,,
820,1.6867737770080566,0.7594771385192871,,
830,1.60811448097229,0.7054713368415833,,
840,1.5655279159545898,0.7412129044532776,,
850,1.5305086374282837,0.6849413514137268,,
860,1.6033134460449219,0.7229247689247131,,
870,1.5500242710113525,0.7395989894866943,,
880,1.6344764232635498,0.732653796672821,,
890,1.5923117399215698,0.7197075486183167,,
900,1.554303765296936,0.7157723903656006,,
910,1.5631400346755981,0.7397298812866211,,
920,1.5538268089294434,0.7598045468330383,,
930,1.4505739212036133,0.6741055846214294,,
940,1.540924310684204,0.7611909508705139,,
950,1.5009605884552002,0.692419171333313,,
960,1.5279154777526855,0.7244736552238464,,
970,1.5377519130706787,0.7415821552276611,,
980,1.4670084714889526,0.729831874370575,,
990,1.4648737907409668,0.7158707976341248,,
1000,1.4581375122070312,0.7303592562675476,,
1010,1.4567371606826782,0.7242962121963501,,
1020,1.3850370645523071,0.7210487723350525,,
1030,1.4699127674102783,0.7266085743904114,,
1040,1.403714895248413,0.7128567099571228,,
1050,1.5018962621688843,0.7667790651321411,,
1060,1.405950665473938,0.737227201461792,,
1070,1.4030916690826416,0.7229492664337158,,
1080,1.4083576202392578,0.7390100955963135,,
1090,1.409088373184204,0.7491843700408936,,
1100,1.4146461486816406,0.7339855432510376,,
1110,1.3980205059051514,0.7543829083442688,,
1120,1.3265752792358398,0.6684215068817139,,
1130,1.366910457611084,0.7380769848823547,,
1140,1.3220012187957764,0.6939389109611511,,
1150,1.3548470735549927,0.7146750092506409,,
1160,1.3477437496185303,0.7455415725708008,,
1170,1.3569245338439941,0.7294424176216125,,
1180,1.2946250438690186,0.7165327072143555,,
1190,1.3557751178741455,0.730434238910675,,
1200,1.3009284734725952,0.714485228061676,,
1210,1.363953948020935,0.7684240937232971,,
1220,1.3619637489318848,0.7465159296989441,,
1230,1.2517695426940918,0.6977968215942383,,
1240,1.3313640356063843,0.767549455165863,,
1250,1.299011468887329,0.7526237368583679,,
1260,1.2751984596252441,0.7195115685462952,,
1270,1.2116341590881348,0.733374297618866,,
1280,1.273811936378479,0.7467280626296997,,
1290,1.2212674617767334,0.7146369814872742,,
1300,1.291466236114502,0.7503890991210938,,
1310,1.232520341873169,0.7164338231086731,,
1320,1.2120020389556885,0.7061877846717834,,
1330,1.2339080572128296,0.7318385243415833,,
1340,1.1710665225982666,0.6928730607032776,,
1350,1.231050729751587,0.7549505829811096,,
1360,1.1873915195465088,0.7290859222412109,,
1370,1.2722141742706299,0.7270707488059998,,
1380,1.1994283199310303,0.7444425821304321,,
1390,1.1831042766571045,0.7106130719184875,,
1400,1.1573355197906494,0.7059252262115479,,
1410,1.1924595832824707,0.7383688688278198,,
1420,1.163161277770996,0.7389934659004211,,
1430,1.2169766426086426,0.7232437133789062,,
1440,1.185617208480835,0.7557470798492432,,
1450,1.163022518157959,0.7190936207771301,,
1460,1.1404105424880981,0.7270389199256897,,
1470,1.191948652267456,0.7605469822883606,,
1480,1.0903477668762207,0.7095426917076111,,
1490,1.11138916015625,0.6750743389129639,,
1500,1.2099688053131104,0.7438046336174011,,
1510,1.0682613849639893,0.6847786903381348,,
1520,1.1075897216796875,0.7343294620513916,,
1530,1.0646370649337769,0.7106727957725525,,
1540,1.1192822456359863,0.6973850131034851,,
1550,1.135438323020935,0.7257731556892395,,
1560,1.1240183115005493,0.7297239303588867,,
1570,1.0402246713638306,0.671949565410614,,
1580,1.0721044540405273,0.7067317962646484,,
1590,1.056823492050171,0.7119516134262085,,
1600,1.0926930904388428,0.7295202016830444,,
1610,1.062088131904602,0.7124066352844238,,
1620,1.0991580486297607,0.7358726859092712,,
1630,1.0495009422302246,0.7205379009246826,,
1640,1.0567892789840698,0.701959490776062,,
1650,0.9887593984603882,0.6594564318656921,,
1660,1.0330214500427246,0.699020504951477,,
1670,1.0364774465560913,0.6959995031356812,,
1680,1.00897216796875,0.70777827501297,,
1690,1.0568299293518066,0.7351961135864258,,
1700,1.0502917766571045,0.722490131855011,,
1710,1.079903244972229,0.730872631072998,,
1720,1.0315619707107544,0.7160905003547668,,
1730,0.978897213935852,0.6893184781074524,,
1740,1.0466203689575195,0.7403162717819214,,
1750,1.0388903617858887,0.7417205572128296,,
1760,1.0086300373077393,0.7318288087844849,,
1770,1.0048104524612427,0.7476080060005188,,
1780,1.0222488641738892,0.7496009469032288,,
1790,0.9948996901512146,0.7196329236030579,,
1800,0.954596996307373,0.6898828744888306,,
1810,0.9616860151290894,0.6712738275527954,,
1820,0.9724087715148926,0.7079826593399048,,
1830,1.0411396026611328,0.734417736530304,,
1840,0.9576079249382019,0.7011335492134094,,
1850,0.9443539381027222,0.6821067333221436,,
1860,0.9753496646881104,0.7250527739524841,,
1870,0.9937925934791565,0.7293159365653992,,
1880,1.0271756649017334,0.786199152469635,,
1890,0.9660200476646423,0.7386413812637329,,
1900,0.8957241177558899,0.656004786491394,,
1910,0.9167762398719788,0.6863494515419006,,
1920,0.9420465230941772,0.7056823968887329,,
1930,0.9657256603240967,0.7143123745918274,,
1940,0.9054175615310669,0.6842520236968994,,
1950,0.8926640748977661,0.6902235150337219,,
1960,0.9364957809448242,0.7217561602592468,,
1970,0.8786956667900085,0.6664643883705139,,
1980,0.9279634356498718,0.7132845520973206,,
1990,0.9529076814651489,0.6878488063812256,,
2000,0.87884521484375,0.6837355494499207,,
2010,0.9052376747131348,0.6923418045043945,,
