step,train/loss,train/action_l1,val/loss,val/action_l1
10,10.933331489562988,0.7927266955375671,,
20,7.22176456451416,0.7719419002532959,,
30,5.511273384094238,0.8084602355957031,,
40,4.959069728851318,0.8316941857337952,,
50,4.333133220672607,0.7820249199867249,,
60,4.031785488128662,0.7934876680374146,,
70,3.7157270908355713,0.7673048377037048,,
80,3.56429386138916,0.7978615164756775,,
90,3.5486109256744385,0.7752206921577454,,
100,3.240011215209961,0.7598786950111389,,
110,3.195457935333252,0.7466259598731995,,
120,3.2584547996520996,0.782443106174469,,
130,2.8891072273254395,0.7366536855697632,,
140,3.1431736946105957,0.7799606323242188,,
150,3.0002293586730957,0.7468286156654358,,
160,2.9160947799682617,0.7755168676376343,,
170,2.847721576690674,0.7716703414916992,,
180,2.8660712242126465,0.7862915992736816,,
190,2.738410234451294,0.7516540884971619,,
200,2.719266414642334,0.7764433026313782,,
210,2.721306324005127,0.7544112801551819,,
220,2.6222078800201416,0.7636688351631165,,
230,2.6396093368530273,0.766386866569519,,
240,2.6113011837005615,0.7369819283485413,,
250,2.685605525970459,0.7545151114463806,,
260,2.4710988998413086,0.7613555192947388,,
270,2.4602653980255127,0.7681295275688171,,
280,2.501896381378174,0.7532559633255005,,
290,2.4836361408233643,0.7390012145042419,,
300,2.4627084732055664,0.7260112762451172,,
310,2.3599207401275635,0.7251059412956238,,
320,2.4196763038635254,0.7519533634185791,,
330,2.3556575775146484,0.7807974815368652,,
340,2.302722692489624,0.7853177189826965,,
350,2.3127012252807617,0.7872881889343262,,
360,2.3224215507507324,0.7102704048156738,,
370,2.272587537765503,0.7668374180793762,,
380,2.1775026321411133,0.7306865453720093,,
390,2.22645902633667,0.7659366130828857,,
400,2.2078163623809814,0.7554797530174255,,
410,2.1616971492767334,0.7777324318885803,,
420,2.1759562492370605,0.7679654955863953,,
430,2.054555892944336,0.7630361318588257,,
440,2.132155656814575,0.7613896727561951,,
450,2.1138756275177,0.7669508457183838,,
460,2.152899980545044,0.7410503029823303,,
470,2.131025791168213,0.7709206938743591,,
480,2.1791598796844482,0.7365360856056213,,
490,2.0129618644714355,0.7280099987983704,,
500,2.1712143421173096,0.7571991086006165,,
510,2.003486394882202,0.7244197726249695,,
520,1.966910481452942,0.7240476608276367,,
530,2.0772433280944824,0.7791205644607544,,
540,1.999572515487671,0.767308235168457,,
550,1.9636061191558838,0.7438004016876221,,
560,2.1033718585968018,0.7529311180114746,,
570,1.9278761148452759,0.7708269357681274,,
580,1.9027384519577026,0.7340115308761597,,
590,1.9868724346160889,0.7431025505065918,,
600,1.9309229850769043,0.74811190366745,,
610,2.0023715496063232,0.7907795310020447,,
620,1.839370608329773,0.7250956296920776,,
630,1.9464188814163208,0.7127857208251953,,
640,1.9277913570404053,0.7766606211662292,,
650,1.8668715953826904,0.770929217338562,,
660,1.8606817722320557,0.7695140242576599,,
670,1.8594415187835693,0.7494526505470276,,
680,1.8813313245773315,0.7438126802444458,,
690,1.8319478034973145,0.753423273563385,,
700,1.771150827407837,0.7403300404548645,,
710,1.8254293203353882,0.7498538494110107,,
720,1.7628302574157715,0.7628138661384583,,
730,1.7320808172225952,0.7192100286483765,,
740,1.7406386137008667,0.7505625486373901,,
750,1.7817493677139282,0.7260457277297974,,
760,1.723575234413147,0.7754510641098022,,
770,1.7121174335479736,0.7726423144340515,,
780,1.7205514907836914,0.7478579878807068,,
790,1.6835834980010986,0.7555533051490784,,
800,1.7549750804901123,0.7432525157928467,,
810,1.6185953617095947,0.7554851174354553,,
