comparison,left_experiment,right_experiment,metric,left_value,right_value,delta_left_minus_right,relative_delta_left_minus_right,lower_is_better,validation_comparability
ABC_vs_B,act_ABC,act_B,gripper_switch_rate_per_1000_frames,24.645499929463544,23.612896762451786,1.0326031670117573,0.04373047396089744,True,different_validation_split
ABC_vs_B,act_ABC,act_B,train_input_static_brightness_mean,0.5521363615989685,0.6938994724183006,-0.14176311081933213,-0.20429920536655724,False,different_validation_split
ABC_vs_B,act_ABC,act_B,train_input_static_contrast_mean,0.23512282967567444,0.17307165912348157,0.062051170552192864,0.3585287785790576,False,different_validation_split
ABC_size_matched_vs_B,act_ABC_size_matched,act_B,best_val_action_l1,0.5652964413166046,0.5404146257787943,0.024881815537810326,0.04604208389429323,True,different_validation_split
ABC_size_matched_vs_B,act_ABC_size_matched,act_B,final_val_action_l1,0.6164840455166996,0.6228719879873097,-0.006387942470610142,-0.010255626507224289,True,different_validation_split
ABC_size_matched_vs_B,act_ABC_size_matched,act_B,final_minus_best_val_action_l1,0.05118760420009494,0.0824573622085154,-0.03126975800842047,-0.3792233606666504,True,different_validation_split
ABC_size_matched_vs_B,act_ABC_size_matched,act_B,selected_checkpoint_val_action_l1,0.5735606364905834,0.5404146257787943,0.03314601071178913,0.06133440719525724,True,different_validation_split
ABC_size_matched_vs_B,act_ABC_size_matched,act_B,first_step_within_1pct_best_val,15000,10000,5000.0,0.5,True,different_validation_split
ABC_size_matched_vs_B,act_ABC_size_matched,act_B,train_frames,535456,535403,53.0,9.899085361867603e-05,False,different_validation_split
ABC_size_matched_vs_B,act_ABC_size_matched,act_B,mean_action_l2_first6,0.5106190218638553,0.502717178582896,0.00790184328095933,0.015718267880229897,False,different_validation_split
ABC_size_matched_vs_B,act_ABC_size_matched,act_B,mean_step_delta_l2_first6,0.17126245227390274,0.22080283574653892,-0.049540383472636174,-0.2243647972415713,True,different_validation_split
ABC_size_matched_vs_B,act_ABC_size_matched,act_B,chunk_mean_boundary_jump_l2_first6,0.17248481704748045,0.1791689427733473,-0.006684125725866852,-0.037306274304037275,True,different_validation_split
ABC_size_matched_vs_B,act_ABC_size_matched,act_B,chunk_q90_boundary_jump_l2_first6,0.3056120024934522,0.32449569496274,-0.018883692469287783,-0.05819396917255278,True,different_validation_split
ABC_size_matched_vs_B,act_ABC_size_matched,act_B,gripper_switch_rate_per_1000_frames,25.02726647941194,23.612896762451786,1.4143697169601523,0.05989818746885906,True,different_validation_split
