action_dim,action_name,mean_abs_delta,std_abs_delta,q50_abs_delta,q90_abs_delta,q99_abs_delta
0,dx,0.042663149666173135,0.04837402963517356,0.02678496763110161,0.10157382488250732,0.22368382066488252
1,dy,0.0371850671185591,0.0409014768344781,0.024054929614067078,0.08768431842327118,0.18425551801919926
2,dz,0.04472672920101798,0.04595656620957604,0.03175129648298025,0.09977105259895325,0.20762976258993066
3,droll,0.0813093823615989,0.0915069026005235,0.05347094312310219,0.18431996228173375,0.43896273076534265
4,dpitch,0.0603643961360596,0.06154190585815006,0.04264760762453079,0.13386599253863096,0.2887104706838726
5,dyaw,0.06555697107042004,0.06766839531328807,0.04595644772052765,0.14765052311122417,0.31698376187123334
6,gripper,0.04929480269023168,0.31009615897039816,0.0,0.0,2.0
-1,l2_first6,0.17159203759891753,0.11479213206129688,0.14473511741622241,0.3077806943291355,0.5804500561820933
