selected_dataset_index,representative_episode_rank,window_start_local,window_end_local,action_l2_first6_raw,action_l2_first6_trailing_mean
900,0,900,2099,0.2503126964317265,0.2503126964317265
1033,0,900,2099,0.2702644689044615,0.40684090474946294
1166,0,900,2099,0.34401510540031977,0.8646733422813172
1299,0,900,2099,0.43967454534371236,0.4418828202594071
1432,0,900,2099,0.24469248360186555,0.3449744087080895
1566,0,900,2099,0.24931750557773644,0.3366312722888093
1699,0,900,2099,0.39432748733484485,0.3930915440605128
1832,0,900,2099,0.5387275384739049,0.5986591251076503
1965,0,900,2099,0.8029700938554086,0.5758452633510823
2099,0,900,2099,0.5042659162197268,0.21632824352735908
