step,step_s_raw,step_s_trailing_mean
1000,0.14899307093583047,0.3072081086777616
2000,0.17923696106299758,0.3435680352402851
3000,0.19683401379734278,0.4659490706406068
4000,0.15978230093605816,0.44479744965559803
5000,27.886394786881283,0.43912690213811584
6000,0.14542345399968326,0.39434004993597044
7000,0.17480329796671867,0.4052602010078262
8000,0.17637619213201106,0.3961335615015123
9000,0.15644042915664613,0.39824100099201315
10000,26.36059451615438,0.42687088025221603
11000,0.08836406888440251,0.3988148959130049
12000,0.20700245001353323,0.3975934736917261
13000,0.15923801809549332,0.40399529932928274
14000,0.15512953489087522,0.39545794648304583
15000,28.641918032895774,0.4274493808785919
16000,1.0852981130592525,0.4007535721505992
17000,0.49560466897673905,0.3986961840544827
18000,0.12060849298723042,0.39891397577128374
19000,0.6400973000563681,0.4004251981447451
20000,29.49183214805089,0.4234856731502805
21000,0.09667400107719004,0.40037060295487753
22000,0.7952833049930632,0.4023598207344767
23000,1.0128532948438078,0.40656810082658196
24000,1.1008054569829255,0.40078961340570823
25000,28.69541760487482,0.4266951897291001
26000,1.1013373180758208,0.4011593576474115
27000,0.8799723729025573,0.3954132237900049
28000,0.1814632408786565,0.39475572501681744
29000,1.053590388968587,0.398566520457156
30000,29.829247628105804,0.4264118472428527
31000,0.6210439580027014,0.3916109222995583
32000,0.8590073690284044,0.4036315634930506
33000,0.6597018090542406,0.40380328672681937
34000,0.2537778289988637,0.3968760505151004
35000,28.086517238989472,0.4260728812876623
36000,0.1825451839249581,0.3955248549790122
37000,0.16067941999062896,0.40160579604376107
38000,0.9694673728663474,0.3880142010310665
39000,0.6008057170547545,0.39042972219828515
40000,28.95203067595139,0.42550596421118825
41000,0.653543904889375,0.39327159338304774
42000,0.489678637124598,0.4000148133370094
43000,0.18469106405973434,0.40025730487937106
44000,0.14176210202276707,0.3996384713840671
45000,27.11933918786235,0.4173059157850221
46000,0.6182443329598755,0.3965983967757784
47000,1.0604872300755233,0.3986915997881442
48000,0.719109671888873,0.39553062145481815
49000,0.1636936841532588,0.3979025949675124
50000,27.38925536419265,0.4231658677745145
51000,0.18925019912421703,0.39920440884144043
52000,0.24185084784403443,0.40278698175703176
53000,1.0308685700874776,0.4015476604292635
54000,0.09221524093300104,0.40102120969141836
55000,27.79731730814092,0.42300364035367966
56000,0.187224545981735,0.395687138101086
57000,0.16962625598534942,0.3973107907178346
58000,0.1600795490667224,0.39759867791458964
59000,0.1961055868305266,0.3889819546276703
60000,29.482673685997725,0.42357526993262584
61000,0.1711157381068915,0.4001667487998493
62000,0.21207792381756008,0.3976672388243023
63000,0.20192173309624195,0.3993009011852555
64000,0.19243590091355145,0.3998104215946514
65000,27.290340848034248,0.4219506511227228
66000,0.16819342994131148,0.3989957328455057
67000,0.20039568119682372,0.40025490186177193
68000,0.1706098048016429,0.3999503717583138
69000,0.15272434405051172,0.3948905002884567
70000,28.99745026184246,0.4274420130709186
71000,0.2598287088330835,0.39263308179029266
72000,0.6055303670000285,0.39495097058755346
73000,0.21226691594347358,0.39660172393661924
74000,0.16329745203256607,0.40062688799062746
75000,28.99555903696455,0.4242282995169517
76000,0.1724099670536816,0.399745076013729
77000,0.1811912669800222,0.3893204107659403
78000,0.18283052602782845,0.39905273041548206
79000,0.16980287712067366,0.39945879539870655
80000,26.77391068590805,0.42396358062140643
81000,0.16420749202370644,0.39302246231702154
82000,0.1914391629397869,0.39751327731111086
83000,0.18775948113761842,0.39965635659964754
84000,0.13132433290593326,0.3966482618385926
85000,27.838818612974137,0.4249515664849896
86000,0.09127284213900566,0.39066102884453724
87000,0.16003972105681896,0.39772966896416617
88000,0.14550408395007253,0.39734898109384814
89000,0.15194413694553077,0.39326695683132856
90000,28.986664936179295,0.4250746685303748
91000,0.20551798189990222,0.3848085440704599
92000,0.7059233929030597,0.3917317996378988
93000,0.8924548851791769,0.4011520091507118
94000,0.556513155112043,0.40282930485811086
95000,27.42494857404381,0.4258657337387558
96000,0.18388475012034178,0.4009591085908469
97000,0.1711091031320393,0.391043730199337
98000,0.15594948106445372,0.3890814581962768
99000,1.1333202491514385,0.3929006738997996
100000,27.988035110989586,0.4242139669614844
