episode_index,chunk_index,chunk_size,chunk_length,mean_within_chunk_delta_l2_first6,first_last_delta_l2_first6,boundary_jump_l2_first6
0,0,100,100,0.13525753519542652,0.8660538941555941,nan
0,1,100,100,0.17365463762645109,0.9759459237243985,0.12663223701015627
0,2,100,100,0.16027529778679372,0.8081320731772499,0.0858632718002456
0,3,100,100,0.15707641460885308,1.0900606132859807,0.11644282134073779
0,4,100,100,0.11661764605346266,1.1125428838576241,0.3416978707171209
0,5,100,100,0.1701623117318349,0.4869479045230163,0.6345756940797037
0,6,100,100,0.14676094676181364,0.4465823418551737,0.2918206653161847
0,7,100,100,0.15808041393120517,0.8679083380433669,0.14233591089268224
0,8,100,100,0.18002293473308476,0.9258642240306117,0.08202388936103525
0,9,100,100,0.10959940287604812,0.14588994431170527,0.09750313671842167
0,10,100,100,0.15727697308481456,0.8673521967089904,0.07608075857706559
0,11,100,100,0.1840256487095261,0.4607367161958626,0.2144702304122745
0,12,100,100,0.16103418731381705,0.6225283762507062,0.12866394613773358
0,13,100,100,0.11113563157991457,0.8912044138414633,0.20143283889842384
0,14,100,100,0.1553010799889754,0.3698208463744794,0.2834308825112197
0,15,100,100,0.1371296873383643,0.685980434918864,0.1253191899574329
0,16,100,100,0.14810701246860072,0.6294755317703137,0.3425070986331
0,17,100,100,0.1612658733047476,0.7660315101227878,0.12227941566088317
0,18,100,100,0.14810076090598506,1.5265001344225075,0.2787444099450069
0,19,100,100,0.1490670705542722,0.5780350324744229,0.010494130454675942
0,20,100,100,0.11745676252405145,0.6712462515371058,0.08412736734012363
0,21,100,100,0.11178979018037732,0.6422174947508578,0.07690030078500236
0,22,100,100,0.1404377079925954,0.3543350098748041,0.059511925799293174
0,23,100,100,0.09325393566963493,0.12572257249869562,0.20183543172426532
0,24,100,100,0.10470190013535928,0.46445431070648546,0.14151019175955182
0,25,100,100,0.12867756139246628,1.0348864882499813,0.08766746924975045
0,26,100,100,0.1500458432132173,1.2198960414527302,0.10649064986221847
0,27,100,100,0.19529355480136062,0.7186981135260143,0.09332479575503229
0,28,100,100,0.15510456023391064,0.5433196150043673,0.261444377415281
0,29,100,100,0.15590354434203987,0.3949103278752019,0.1092885636901039
1,30,100,100,0.13329601715716155,0.5493926454283684,nan
1,31,100,100,0.10998675996409286,0.7389163176908945,0.15005554344118027
1,32,100,100,0.13326852903334066,0.6975890478394027,0.06346010852294166
1,33,100,100,0.10437267775801687,0.7631725653495873,0.09634212910804052
1,34,100,100,0.12402327673996466,0.7673199067821779,0.1454065692484284
1,35,100,100,0.16854250588663802,0.809744714232226,0.2521709036057515
1,36,100,100,0.12490244601671564,0.3781034491217155,0.23297570245894098
1,37,100,100,0.13433566251576803,0.31900822309427984,0.09995150062819695
1,38,100,100,0.09869889396032701,0.5260458088435653,0.1714844565013222
1,39,100,100,0.13660286216486328,0.7158717797779002,0.12067482134518939
1,40,100,100,0.11881423182464457,0.48014150965598174,0.03269356374781783
1,41,100,100,0.14688538133055498,1.0177242147462016,0.07162457109298437
1,42,100,100,0.14604863876400714,1.0845518291990128,0.06698057173643648
1,43,100,100,0.1864721703542281,0.6505510992595803,0.14469401086078518
1,44,100,100,0.15512745341478282,0.5536731975193022,0.17533263649098313
1,45,100,100,0.12716922199904526,0.7762816058000058,0.1315592842538359
1,46,100,100,0.14013038440332473,1.11280239146923,0.16123079246819175
1,47,100,100,0.15626988780685064,0.8973153897192536,0.3819076926776444
1,48,100,100,0.16165965768894378,1.09693680641706,0.07451586412872147
1,49,100,100,0.2333064583214618,0.9951338072803139,0.23540271787237674
1,50,100,100,0.14781891832344507,0.6959757091723819,0.12190219087634707
1,51,100,100,0.17024167019002295,0.6561386724378031,0.06881503094137054
1,52,100,100,0.13383563987256147,0.2913224745719084,0.23888473649242817
1,53,100,100,0.12312355577910104,0.945025411960634,0.11655438121191443
1,54,100,100,0.16118696950228248,1.635366082215953,0.105908766693763
1,55,100,100,0.20570451757085406,0.39208112097081926,0.07429203860620491
1,56,100,100,0.1553052711174749,1.0873763247414299,0.07318425733971652
1,57,100,100,0.17371795277640653,0.9835130111476995,0.1214899028728533
1,58,100,100,0.14772114140352205,0.755668704209286,0.1426210312666266
1,59,100,100,0.17971424305207348,0.8212623389311309,0.17287953317495108
2,60,100,100,0.20149264756356491,1.4198533707299879,nan
2,61,100,100,0.18679720320655654,1.3809135593954414,0.3178889687637249
2,62,100,100,0.18213989525215463,0.5287894774639038,0.11760991175235215
2,63,100,100,0.17901618435020114,0.7841267070201094,0.07192393683797675
2,64,100,100,0.15734577208012945,1.0508676498714968,0.11856355056880394
2,65,100,100,0.18521490231803764,0.9490593790400917,0.12459812378087204
2,66,100,100,0.14858068413009143,0.3460703550906828,0.2274164597501909
2,67,100,100,0.13808372361204108,0.8795083778421775,0.19392849811610702
2,68,100,100,0.08381948877548694,0.2753722003928228,0.2532929977412209
2,69,100,100,0.14237968978088356,0.5399974287556085,0.05100675280253539
2,70,100,100,0.1327790415648026,0.7334670071060565,0.06294104550299687
2,71,100,100,0.22045648575037438,0.6407342579018503,0.2104954091289908
2,72,100,100,0.031342281901185466,0.17885329974955463,0.23602543214349955
2,73,100,78,0.0723373473141773,0.09210510991888726,0.04162870061739826
3,74,100,100,0.18702837243840614,1.7210808475465085,nan
