experiment,display_name,ablation_mode,chunk_t,mean_pred_l1_delta
act_lang_B,ACT-Lang-B,zero_language,84,0.44781118631362915
act_lang_B,ACT-Lang-B,zero_language,85,0.3521416187286377
act_lang_B,ACT-Lang-B,zero_language,86,0.3361894488334656
act_lang_B,ACT-Lang-B,zero_language,87,0.4625658094882965
act_lang_B,ACT-Lang-B,zero_language,88,0.39531779289245605
act_lang_B,ACT-Lang-B,zero_language,89,0.35260263085365295
act_lang_B,ACT-Lang-B,zero_language,90,0.3788919448852539
act_lang_B,ACT-Lang-B,zero_language,91,0.41811659932136536
act_lang_B,ACT-Lang-B,zero_language,92,0.372794508934021
act_lang_B,ACT-Lang-B,zero_language,93,0.36551350355148315
act_lang_B,ACT-Lang-B,zero_language,94,0.40175217390060425
act_lang_B,ACT-Lang-B,zero_language,95,0.36789870262145996
act_lang_B,ACT-Lang-B,zero_language,96,0.36743953824043274
act_lang_B,ACT-Lang-B,zero_language,97,0.34396812319755554
act_lang_B,ACT-Lang-B,zero_language,98,0.3868577778339386
act_lang_B,ACT-Lang-B,zero_language,99,0.4111863672733307
act_lang_B,ACT-Lang-B,wrong_language,0,0.5388449430465698
act_lang_B,ACT-Lang-B,wrong_language,1,0.5558909773826599
act_lang_B,ACT-Lang-B,wrong_language,2,0.5690569877624512
act_lang_B,ACT-Lang-B,wrong_language,3,0.5793341398239136
act_lang_B,ACT-Lang-B,wrong_language,4,0.580724835395813
act_lang_B,ACT-Lang-B,wrong_language,5,0.5820254683494568
act_lang_B,ACT-Lang-B,wrong_language,6,0.5752772688865662
act_lang_B,ACT-Lang-B,wrong_language,7,0.5728435516357422
act_lang_B,ACT-Lang-B,wrong_language,8,0.5686794519424438
act_lang_B,ACT-Lang-B,wrong_language,9,0.5751103162765503
act_lang_B,ACT-Lang-B,wrong_language,10,0.5900812745094299
act_lang_B,ACT-Lang-B,wrong_language,11,0.6061551570892334
act_lang_B,ACT-Lang-B,wrong_language,12,0.6220045685768127
