experiment,display_name,mode,action_dim,mean_action_l1,std_action_l1,q90_action_l1
act_lang_B,ACT-Lang-B,correct,0,0.31503742933273315,0.22660677134990692,0.5990763306617737
act_lang_B,ACT-Lang-B,correct,1,0.2947530448436737,0.26030537486076355,0.5528507232666016
act_lang_B,ACT-Lang-B,correct,2,0.34763383865356445,0.236757293343544,0.663174033164978
act_lang_B,ACT-Lang-B,correct,3,0.5050941109657288,0.2456986904144287,0.7972368597984314
act_lang_B,ACT-Lang-B,correct,4,0.4443449079990387,0.2372005134820938,0.7657378315925598
act_lang_B,ACT-Lang-B,correct,5,0.31234848499298096,0.22911223769187927,0.5249806642532349
act_lang_B,ACT-Lang-B,correct,6,0.12750360369682312,0.1513613760471344,0.3422143757343292
act_lang_B,ACT-Lang-B,zero_language,0,0.5920872092247009,0.4858633279800415,1.2842602729797363
act_lang_B,ACT-Lang-B,zero_language,1,0.6088254451751709,0.5537697672843933,1.5854191780090332
act_lang_B,ACT-Lang-B,zero_language,2,0.6576387286186218,0.5334421396255493,1.5126774311065674
act_lang_B,ACT-Lang-B,zero_language,3,0.5971157550811768,0.3290884494781494,1.1211975812911987
act_lang_B,ACT-Lang-B,zero_language,4,0.6724289059638977,0.3970121741294861,1.2426385879516602
act_lang_B,ACT-Lang-B,zero_language,5,0.5220495462417603,0.46349039673805237,1.1301075220108032
act_lang_B,ACT-Lang-B,zero_language,6,0.34089916944503784,0.34637486934661865,0.8520413041114807
act_lang_B,ACT-Lang-B,wrong_language,0,0.7467844486236572,0.5243523716926575,1.5000216960906982
act_lang_B,ACT-Lang-B,wrong_language,1,0.8097859621047974,0.687895655632019,1.7871432304382324
act_lang_B,ACT-Lang-B,wrong_language,2,0.7889111042022705,0.6434463262557983,1.6463559865951538
act_lang_B,ACT-Lang-B,wrong_language,3,0.6367686986923218,0.3490043878555298,1.0824893712997437
act_lang_B,ACT-Lang-B,wrong_language,4,0.7343910932540894,0.4453686475753784,1.2069783210754395
act_lang_B,ACT-Lang-B,wrong_language,5,0.644068717956543,0.7766823768615723,1.29776930809021
act_lang_B,ACT-Lang-B,wrong_language,6,0.5062956809997559,0.5541983246803284,1.500746488571167
act_lang_ABC_200k,ACT-Lang-ABC 200k,correct,0,0.3113442659378052,0.23633290827274323,0.6231130361557007
act_lang_ABC_200k,ACT-Lang-ABC 200k,correct,1,0.26648586988449097,0.16796813905239105,0.48317569494247437
act_lang_ABC_200k,ACT-Lang-ABC 200k,correct,2,0.3980424404144287,0.4067290127277374,0.7820215821266174
act_lang_ABC_200k,ACT-Lang-ABC 200k,correct,3,0.6304924488067627,0.40617185831069946,1.091575026512146
act_lang_ABC_200k,ACT-Lang-ABC 200k,correct,4,0.5633657574653625,0.4464839696884155,1.1119341850280762
act_lang_ABC_200k,ACT-Lang-ABC 200k,correct,5,0.3058064579963684,0.21825914084911346,0.5009210109710693
act_lang_ABC_200k,ACT-Lang-ABC 200k,correct,6,0.15240947902202606,0.24901410937309265,0.3819015920162201
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,0,0.6838717460632324,0.5278555154800415,1.417898178100586
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,1,0.6191173791885376,0.5386300086975098,1.3452907800674438
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,2,0.6838173866271973,0.5349461436271667,1.404747724533081
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,3,0.775165855884552,0.4699363112449646,1.448348045349121
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,4,0.7795669436454773,0.5033317804336548,1.4507774114608765
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,5,0.6184414029121399,0.5441949367523193,1.5236598253250122
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,6,0.5305147171020508,0.5424669981002808,1.4170767068862915
act_lang_ABC_200k,ACT-Lang-ABC 200k,wrong_language,0,0.7325398325920105,0.5947824716567993,1.5754448175430298
act_lang_ABC_200k,ACT-Lang-ABC 200k,wrong_language,1,0.7223681807518005,0.6155030727386475,1.6128429174423218
act_lang_ABC_200k,ACT-Lang-ABC 200k,wrong_language,2,0.7659631967544556,0.5624100565910339,1.4884411096572876
act_lang_ABC_200k,ACT-Lang-ABC 200k,wrong_language,3,0.7740468978881836,0.4536508321762085,1.431461215019226
act_lang_ABC_200k,ACT-Lang-ABC 200k,wrong_language,4,0.8417040109634399,0.5166767835617065,1.4776285886764526
act_lang_ABC_200k,ACT-Lang-ABC 200k,wrong_language,5,0.7998796701431274,0.7631538510322571,1.933309555053711
act_lang_ABC_200k,ACT-Lang-ABC 200k,wrong_language,6,0.5888630151748657,0.6141449809074402,1.546924114227295
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,correct,0,0.4207068681716919,0.3907771706581116,0.7545865178108215
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,correct,1,0.3267722725868225,0.202383354306221,0.5930958986282349
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,correct,2,0.4974186420440674,0.46136361360549927,0.984110951423645
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,correct,3,0.7102020382881165,0.41911739110946655,1.2293826341629028
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,correct,4,0.6449605226516724,0.48358142375946045,1.2388477325439453
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,correct,5,0.3897099792957306,0.33955898880958557,0.6316717267036438
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,correct,6,0.20599029958248138,0.2613455355167389,0.5742665529251099
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,zero_language,0,0.7408263087272644,0.5377481579780579,1.3666102886199951
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,zero_language,1,0.6745050549507141,0.5582451820373535,1.4210965633392334
