step,step_s_raw,step_s_trailing_mean
1000,0.21448029181919992,0.33396545647154563
2000,0.21320540201850235,0.5981189296280499
3000,0.18741887295618653,0.7106073401288595
4000,0.13475287100300193,0.6806474542003125
5000,44.11914886208251,0.7304467577750329
6000,0.19523124606348574,0.6796479806127027
7000,0.20817649899981916,0.677484318894567
8000,0.168838941026479,0.6747640762759838
9000,0.1776784360408783,0.6856521795394365
10000,44.77042429894209,0.7397398477033712
11000,0.23378940601833165,0.6841474807877094
12000,0.2093247678130865,0.6881168515288737
13000,0.1946597727946937,0.6866213297597132
14000,0.22157932678237557,0.6893954985472374
15000,45.273817403940484,0.7347764804530889
16000,0.2034106149803847,0.6814298048212659
17000,0.1847189508844167,0.6952314961673692
18000,0.1466690511442721,0.6759185999748297
19000,0.22052663494832814,0.6912850389953237
20000,43.86555102397688,0.734936966513982
21000,0.18164819781668484,0.687795501262648
22000,0.18026612512767315,0.6923797326113563
23000,0.25677546998485923,0.6927330584868323
24000,0.20865375990979373,0.6922284902762622
25000,44.63938583806157,0.7400584377963096
26000,0.16650466015562415,0.681900912667159
27000,0.18437761114910245,0.6955908634462393
28000,0.1919735090341419,0.6911438809372484
29000,0.21007370296865702,0.701292335819453
30000,43.932834949111566,0.7323724476348143
31000,0.19112504506483674,0.6899299930699635
32000,0.1657579478342086,0.694281469167443
33000,0.21272227307781577,0.6985886603943072
34000,0.18832393386401236,0.7031432153941132
35000,45.42541843606159,0.7375383117597084
36000,0.1960827368311584,0.6912593399705366
37000,0.17002577311359346,0.6940013478244654
38000,0.19770233216695487,0.6957446802281775
39000,0.21194698195904493,0.7056933628038969
40000,43.05749843805097,0.746516095170984
41000,0.20654752710834146,0.6968966676665004
42000,0.20958619890734553,0.6846356861821842
43000,0.17902192706242204,0.6942788545750082
44000,0.2252191009465605,0.6979746277278754
45000,44.043197579914704,0.742762169640977
46000,0.15764130698516965,0.6977867817063816
47000,0.2083785820286721,0.699850983787328
48000,0.18466370296664536,0.6999539104741997
49000,0.18414084007963538,0.6976163453685585
50000,43.286634732969105,0.7419111419543624
51000,2.0788173000328243,0.6941498242828529
52000,2.51838845689781,0.7048533227408771
53000,2.312419918831438,0.6941047842630651
54000,2.2162924078293145,0.7024427400801796
55000,46.74457866814919,0.7406025494199712
56000,1.8662515240721405,0.6925886312357615
57000,2.362052849959582,0.6958798766518012
58000,1.5775951680261642,0.6582068332456984
59000,1.3548164279200137,0.5646654578156304
60000,38.444077889900655,0.6122592657827772
61000,1.9029694620985538,0.5603635097471997
62000,1.8179256988223642,0.5651764651592821
63000,1.7735348579008132,0.5773189174730796
64000,1.6514881278853863,0.5714917202051729
65000,39.18907798593864,0.6002771355467849
66000,2.0003754729405046,0.5605362217752263
67000,0.18239164212718606,0.5549708924968727
68000,0.15761094586923718,0.5660231842822395
69000,0.16674838797189295,0.5555453199979383
70000,39.01940804510377,0.5999938758672215
71000,0.21274611400440335,0.5608171441410669
72000,0.20231777289882302,0.569848977824673
73000,0.1765106290113181,0.5715895676130894
74000,0.17347359494306147,0.5463551134092267
75000,38.23832441796549,0.5956756584933027
76000,0.20511419395916164,0.3841739503860008
77000,0.2155161399859935,0.3611543215054553
78000,0.15163286007009447,0.3832418387993239
79000,0.20483149006031454,0.35722715480229816
80000,36.62397566600703,0.3883722030033823
81000,0.18402904900722206,0.36002122862590474
82000,0.1751910939346999,0.3419455847605132
83000,0.1878717348445207,0.36475215026107616
84000,0.15125951101072133,0.35614681902434675
85000,37.29816441400908,0.40290812083729544
86000,0.17789986706338823,0.35601086712419056
87000,0.16891003190539777,0.37061529185180553
88000,0.3835094638634473,0.36725803363346493
89000,0.1772601599805057,0.36654006224940533
90000,39.20167666301131,0.3971918959161267
91000,0.16549908788874745,0.3588099516066723
92000,0.1368609401397407,0.3643801433127373
93000,0.1959231977816671,0.3740110817248933
94000,0.21022845804691315,0.34919411286874674
95000,38.09405701700598,0.40496845489111727
96000,0.1664349630009383,0.3540414242036641
97000,0.17482996406033635,0.34211706202896314
98000,0.1497217509895563,0.34486177206295543
99000,0.2218878660351038,0.35754866048926487
100000,37.553874559002,0.3908930301258806
