step,train_action_l1_raw,train_action_l1_trailing_mean,train_smoothing_window_steps
1000,0.729530930519104,0.7562533769011498,1000
2000,0.6827252507209778,0.721249824821949,1000
3000,0.7514185905456543,0.7062661020755768,1000
4000,0.6771809458732605,0.694087607383728,1000
5000,0.6991429328918457,0.684865118265152,1000
6000,0.6496128439903259,0.6780090664625168,1000
7000,0.6236693263053894,0.6733827424645424,1000
8000,0.6450377106666565,0.6690638883709907,1000
9000,0.6668241024017334,0.6653003452420234,1000
10000,0.62890625,0.6617257440686226,1000
11000,0.6494917273521423,0.657570938050747,1000
12000,0.692646324634552,0.65325231975317,1000
13000,0.6983469724655151,0.6488768768906593,1000
14000,0.6763337850570679,0.6459632826447487,1000
15000,0.6378551125526428,0.6397515220642089,1000
16000,0.6178953647613525,0.6352228739857674,1000
17000,0.5917141437530518,0.6308829253315925,1000
18000,0.6291393637657166,0.6242449859380722,1000
19000,0.5950368046760559,0.6188897307515144,1000
20000,0.60176020860672,0.6142115179896355,1000
21000,0.5810731053352356,0.6117885006666184,1000
22000,0.6117289662361145,0.6068934263586998,1000
23000,0.6177128553390503,0.6035130920410157,1000
24000,0.6336084008216858,0.600921072423458,1000
25000,0.5877853631973267,0.5980406772494317,1000
26000,0.5825072526931763,0.5938069605827332,1000
27000,0.5823068022727966,0.5898354296088218,1000
28000,0.5580378174781799,0.5857024768590927,1000
29000,0.6021983027458191,0.5809718042612075,1000
30000,0.57124263048172,0.5800300660729408,1000
31000,0.5769237875938416,0.5759350973367691,1000
32000,0.5288159251213074,0.571692412674427,1000
33000,0.5981957912445068,0.5688627826869488,1000
34000,0.5606803297996521,0.5616101933717728,1000
35000,0.5351331233978271,0.5556944186091423,1000
36000,0.5699666142463684,0.5541259189844131,1000
37000,0.5324460864067078,0.5502043873667717,1000
38000,0.5427278280258179,0.548046769052744,1000
39000,0.5694624185562134,0.5469118383526802,1000
40000,0.5712049603462219,0.5428478636145592,1000
41000,0.5408968329429626,0.5401283687353134,1000
42000,0.5714823603630066,0.5386385053992272,1000
43000,0.5700868964195251,0.5353410862386226,1000
44000,0.5366186499595642,0.5315801940858365,1000
45000,0.5146052837371826,0.5278507206141949,1000
46000,0.5488017201423645,0.526824648797512,1000
47000,0.5132679343223572,0.5234476351737976,1000
48000,0.49435660243034363,0.5219750544726849,1000
49000,0.5409125089645386,0.5190648390948772,1000
50000,0.505908191204071,0.5156425512731075,1000
51000,0.5170384645462036,0.5095915137529373,1000
52000,0.5043647289276123,0.5060710002183915,1000
53000,0.5377246141433716,0.5045335373878479,1000
54000,0.510353684425354,0.5010587927997112,1000
55000,0.49300503730773926,0.499705508261919,1000
56000,0.47483667731285095,0.4990764513015747,1000
57000,0.49076172709465027,0.49712154707312584,1000
58000,0.4816324710845947,0.4944281320273876,1000
59000,0.5091587901115417,0.49223457446694374,1000
60000,0.4889739155769348,0.48962886637449266,1000
61000,0.4908369779586792,0.48652987265586856,1000
62000,0.5158720016479492,0.48464205145835876,1000
63000,0.43487054109573364,0.4844115288555622,1000
64000,0.47441932559013367,0.4811386120021343,1000
65000,0.510475218296051,0.4822163726389408,1000
66000,0.4517347514629364,0.4780720821619034,1000
67000,0.47526371479034424,0.4747652866840363,1000
68000,0.4542508125305176,0.4671212096810341,1000
69000,0.4399399757385254,0.4685649126470089,1000
70000,0.44664087891578674,0.4664499467909336,1000
71000,0.4434974789619446,0.4650233686566353,1000
72000,0.5024129748344421,0.4633436858654022,1000
73000,0.4420110583305359,0.4624489329457283,1000
74000,0.4634009599685669,0.46100928005576136,1000
75000,0.42241623997688293,0.45950138080120084,1000
76000,0.4523136615753174,0.4574405449330807,1000
77000,0.43804267048835754,0.45650680696964263,1000
78000,0.4461996555328369,0.45384693121910097,1000
79000,0.3969159722328186,0.4534884583950043,1000
80000,0.41891640424728394,0.45220302656292916,1000
81000,0.4087669253349304,0.4511091471016407,1000
82000,0.46218812465667725,0.44954452055692673,1000
83000,0.43250080943107605,0.44781953951716424,1000
84000,0.40942490100860596,0.44428361624479296,1000
85000,0.4300149977207184,0.4402077196538448,1000
86000,0.4578566253185272,0.439276517868042,1000
87000,0.4627460539340973,0.43839277783036235,1000
88000,0.45772504806518555,0.43828761529922483,1000
89000,0.42591017484664917,0.43545983988046644,1000
90000,0.3989877700805664,0.43477927723526955,1000
91000,0.41524213552474976,0.4335947756171227,1000
92000,0.43526491522789,0.4317974371314049,1000
93000,0.424388587474823,0.4318359566628933,1000
94000,0.43677183985710144,0.430699253320694,1000
95000,0.40166041254997253,0.4288904828429222,1000
96000,0.4172908365726471,0.4303447569608688,1000
97000,0.4842091500759125,0.42911578902602193,1000
98000,0.3972393274307251,0.42670397570729257,1000
99000,0.4289204478263855,0.4250412312448025,1000
100000,0.4140178859233856,0.4252474548816681,1000
