dataset_group,mean_embedding_norm,std_embedding_norm,q10_embedding_norm,q90_embedding_norm
B,7.250049584172932,0.4009027308449112,6.7403092271284955,7.782850877671202
ABC,7.24548900711169,0.410259459229239,6.7069249554012025,7.819805911040082
