experiment,display_name,median_step_s,mean_step_s,q95_step_s,max_step_s
act_lang_B,ACT-Lang-B,0.0905548045411706,0.47493690957594664,3.4461806414998133,42.73373972903937
act_lang_ABC_200k,ACT-Lang-ABC 200k,0.09396687359549105,0.35247690463296605,2.486422858969305,32.833272815914825
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,0.088688328047283,0.3635910172305093,2.4741420129663263,33.53594214981422
